gene	chromosome	start	end	log2	depth	weight	n_bins	segment_weight	segment_probes
FBXL17	chr5	107177192	107417186	-0.534582	0.00355598	8.23436	10	33.1022	42
LINC02214	chr5	116096958	116116958	-0.434883	0.0124	0.667432	1	13.9334	19
PRR16	chr5	119856860	120036855	-0.847286	0.00527163	6.42881	9	11.628	16
FBN2	chr5	127756653	127856650	-0.657741	0.00410777	2.62275	3	9.13394	13
ADAMTS19	chr5	128996620	129076618	-0.459871	0.00334714	3.27381	4	17.1671	21
MINAR2	chr5	129076618	129116617	-0.459871	0.0103798	1.43304	2	17.1671	21
CHSY3	chr5	129236614	129436609	-0.459871	0.00593561	7.20223	9	17.1671	21
LINC02143	chr5	163855707	163895706	-1.20374	0.00357516	1.98951	2	6.5138	8
LOC102546299	chr5	163895706	163975703	-1.20374	0.0110402	2.94667	4	6.5138	8
MLIP	chr6	54018443	54138439	0.641874	0.00764251	3.85708	6	5.66411	8
TINAG	chr6	54158439	54178438	0.641874	0.0141507	0.91312	1	5.66411	8
TINAG	chr6	54238437	54258436	-0.564107	0.00360018	0.997549	1	7.16048	9
KHDRBS2	chr6	62318204	62498198	-1.17792	0.00499374	5.64802	8	5.64802	8
KHDRBS2	chr6	62938186	62998184	-6.03375	0.00100233	2.37184	3	4.10615	5
PTP4A1	chr6	64278147	64298147	-0.970343	0.007	0.541725	1	8.2317	11
PHF3	chr6	64338145	64438142	-0.970343	0.00637172	2.86552	4	8.2317	11
EYS	chr6	66338088	66418085	-0.747259	0.00549093	2.40798	3	5.06548	6
ADGRB3	chr6	69757989	69997982	-1.14492	0.00390065	9.09768	10	9.09768	10
RIMS1	chr6	73037894	73117892	-0.524651	0.00550753	3.21926	4	3.97027	5
LOC101928516	chr6	74777844	74877841	-0.497218	0.00785932	3.42928	4	7.09407	9
SENP6	chr6	76297800	76437796	-0.659143	0.00526677	3.53193	5	7.02972	10
MYO6	chr6	76457796	76537794	-0.659143	0.00676214	3.13693	4	7.02972	10
BACH2	chr6	90897380	91017376	-0.448472	0.0068279	5.0883	6	6.34639	8
MIR4464	chr6	91017376	91037375	-0.448472	0.00900045	0.337588	1	6.34639	8
GRIK2	chr6	101897062	102317050	-0.860367	0.00388861	10.4619	12	10.4619	12
DSE	chr6	116656637	116776633	-0.546954	0.004155	4.35381	5	14.7201	19
CALHM6	chr6	116776633	116796633	-0.546954	0.00715	0.735984	1	14.7201	19
TRAPPC3L	chr6	116796633	116876630	-0.546954	0.00811597	2.6478	4	14.7201	19
RWDD1	chr6	116876630	116936629	-0.546954	0.0018	1.88139	2	14.7201	19
RSPH4A	chr6	116936629	116956628	-0.546954	0.0179009	0.826959	1	14.7201	19
ZUP1	chr6	116956628	116996627	-0.546954	0.0104377	1.33076	2	14.7201	19
KPNA5	chr6	116996627	117076625	-0.546954	0.00612321	1.9459	3	14.7201	19
GPRC6A	chr6	117096624	117116624	-0.546954	0.0054	0.997512	1	14.7201	19
DCBLD1	chr6	117796604	117876602	-0.699579	0.00473877	2.31471	4	11.9316	16
GOPC	chr6	117896601	117936600	-0.699579	0.00555362	1.58764	2	11.9316	16
LOC101927919	chr6	117976599	117996598	-0.699579	0	0.340762	1	11.9316	16
NUS1	chr6	118016598	118036597	-0.699579	0.00180009	0.997279	1	11.9316	16
MAN1A1	chr6	119496555	119616551	-4.89167	0.00301597	3.20103	4	4.05053	5
PTPRK	chr6	128396298	128676290	-1.49962	0.0050127	5.75371	8	5.75371	8
PTPRK	chr6	128736288	128856285	-0.667851	0.00423233	4.28925	5	4.28925	5
MAP7	chr6	136656060	136736058	-0.451483	0.00528214	2.34689	3	4.25327	5
PEX7	chr6	137176045	137236043	-0.507676	0.00450509	2.61774	3	12.7097	16
SLC35D3	chr6	137236043	137256043	-0.507676	0.0071	0.954044	1	12.7097	16
NHEG1	chr6	137296042	137316041	-0.507676	0.00360018	0.7618	1	12.7097	16
IL20RA	chr6	137316041	137376039	-0.507676	0.00644136	2.91461	3	12.7097	16
IL22RA2	chr6	137456037	137496036	-0.507676	0.0159126	1.57141	2	12.7097	16
IFNGR1	chr6	137516035	137536035	-0.507676	0.0036	0.59349	1	12.7097	16
ECT2L	chr6	139175987	139235986	0.589285	0.00952146	2.91352	3	6.34794	7
REPS1	chr6	139255985	139315983	0.589285	0.0174726	2.66066	3	6.34794	7
PACRG	chr6	163375290	163755279	-1.16528	0.00658892	13.3397	18	15.8146	21
QKI	chr6	163835276	163855276	-1.16528	0	0.583523	1	15.8146	21
AFDN	chr6	168355146	168375146	-0.56502	0.0018	0.99891	1	30.5649	37
KIF25-AS1	chr6	168375146	168395145	-0.56502	0.00870044	0.804366	1	30.5649	37
KIF25	chr6	168415144	168455143	-0.56502	0.00881329	1.90218	2	30.5649	37
FRMD1	chr6	168475143	168495142	-0.56502	0.0125006	0.588179	1	30.5649	37
LOC105378137	chr6	168615139	168635138	-0.56502	0.00715036	0.934363	1	30.5649	37
LOC101929420	chr6	168635138	168675137	-0.56502	0.0123955	1.69542	2	30.5649	37
DACT2	chr6	168715136	168735135	-0.56502	0.0124506	0.928389	1	30.5649	37
SMOC2	chr6	168835132	169055126	-0.56502	0.00919828	7.51608	9	30.5649	37
TMEM106B	chr7	12239898	12299897	0.580787	0.00714158	2.37006	3	5.43796	7
DGKB	chr7	14659877	15019874	-0.66624	0.00300054	7.30531	9	16.0479	20
AGMO	chr7	15259872	15319872	-0.66624	0.00557208	1.40556	2	16.0479	20
AGMO	chr7	15359871	15539870	0.605589	0.00731301	5.69325	7	5.69325	7
LOC441204	chr7	26459778	26599777	0.690139	0.0142656	5.2719	7	6.93849	9
CACNA2D1	chr7	81599314	81679314	0.699343	0.00420998	1.73622	3	5.28369	7
SEMA3A	chr7	83579298	83839296	0.49477	0.00803375	6.28038	8	15.1622	20
SEMA3D	chr7	84619289	84739288	0.441636	0.00493504	4.79702	6	53.988	71
LINC00972	chr7	85039286	85099285	0.441636	0.00539068	2.36132	3	53.988	71
GRM3	chr7	86279275	86459274	0.441636	0.00795405	5.90877	8	53.988	71
ZNF804B	chr7	88659255	88839254	-0.591687	0.0037888	4.54642	6	4.54642	6
ZNF804B	chr7	88839254	88979252	0.5501	0.00851889	6.32096	7	24.0329	29
STEAP2-AS1	chr7	89499248	89859245	0.447802	0.00953458	11.9694	15	14.3733	18
CFAP69	chr7	89859245	89919244	0.447802	0.00696023	2.40386	3	14.3733	18
SLC26A4-AS1	chr7	107279099	107299098	0.499769	0.0126006	0.920004	1	9.48487	11
SLC26A4	chr7	107319098	107339098	0.499769	0.01255	0.999246	1	9.48487	11
CBLL1	chr7	107379098	107419097	0.499769	0.00564467	1.41009	2	9.48487	11
SLC26A3	chr7	107419097	107459097	0.499769	0.0106837	1.48132	2	9.48487	11
DLD	chr7	107519097	107539096	0.499769	0.019351	0.943065	1	9.48487	11
IMMP2L	chr7	110519071	110739069	0.55572	0.00787258	7.34022	10	7.34022	10
FOXP2	chr7	114079041	114219040	0.796849	0.00874972	3.29147	5	3.29147	5
FOXP2	chr7	114319039	114339039	0.400041	0.00535	0.549068	1	38.9267	50
MDFIC	chr7	114559037	114679036	0.400041	0.00760094	3.10748	4	38.9267	50
LINC01393	chr7	114699036	114719036	0.400041	0.01075	0.997256	1	38.9267	50
LINC01392	chr7	114799035	114879035	0.400041	0.0080621	2.60685	3	38.9267	50
SNORA25B	chr7	115219032	115239032	0.400041	0.00895	0.929455	1	38.9267	50
TFEC	chr7	115639028	115679028	0.400041	0.00448574	1.97997	2	38.9267	50
KCND2	chr7	120138990	120398988	0.434782	0.00637765	8.02013	10	51.2205	67
TSPAN12	chr7	120418988	120498987	0.434782	0.00610417	2.48296	3	51.2205	67
ING3	chr7	120578987	120618986	0.434782	0.00867466	1.36255	2	51.2205	67
CPED1	chr7	120618986	120938984	0.434782	0.00918506	7.1252	9	51.2205	67
WNT16	chr7	120958984	120978983	0.434782	0.0161508	0.920677	1	51.2205	67
FAM3C	chr7	120998983	121038983	0.434782	0.00988922	1.37944	2	51.2205	67
PTPRZ1	chr7	121498979	121698977	0.434782	0.010604	6.41983	8	51.2205	67
AASS	chr7	121718977	121798976	0.434782	0.0076	1.74965	2	51.2205	67
OR4F21	chr8	100003	120004	-0.838012	0.00534973	0.916697	1	36.229	43
RPL23AP53	chr8	140004	200006	-0.838012	0.00668485	1.60694	2	36.229	43
FAM87A	chr8	320009	340010	-0.838012	0.00344983	0.809016	1	36.229	43
FBXO25	chr8	340010	440013	-0.838012	0.00748506	4.60912	5	36.229	43
TDRP	chr8	440013	500014	-0.838012	0.00575815	2.45756	3	36.229	43
ERICH1	chr8	560016	700020	-0.838012	0.00532692	4.30588	5	36.229	43
DLGAP2	chr8	700020	1020029	-0.838012	0.0066304	12.6259	15	36.229	43
DLGAP2	chr8	1060030	1460041	-1.20197	0.00552771	13.518	17	13.518	17
DLGAP2	chr8	1480041	1660046	-1.06099	0.00566355	6.30346	8	7.97566	10
ARHGEF10	chr8	1860052	1920053	-1.05819	0.00618516	1.98886	3	8.17261	10
KBTBD11	chr8	1920053	1960054	-1.05819	0.0102443	1.93618	2	8.17261	10
MYOM2	chr8	1980055	2060057	-1.05819	0.00459607	3.24893	4	8.17261	10
MYOM2	chr8	2060057	2100058	-0.712786	0.0046724	1.8119	2	13.1605	16
LOC101927815	chr8	2380066	2400066	-0.712786	0.0036	0.999246	1	13.1605	16
LOC101927815	chr8	2400066	2540070	-0.798842	0.00467198	3.821	6	3.821	6
CSMD1	chr8	2820078	3320092	-0.678543	0.00566467	17.287	21	17.287	21
CSMD1	chr8	3360093	3700102	-0.954054	0.00491252	10.6496	14	10.6496	14
CSMD1	chr8	3740103	3860107	-4.85281	0.00272646	4.01879	5	4.01879	5
CSMD1	chr8	3860107	4000110	-1.14042	0.00281525	4.01119	6	4.01119	6
CSMD1	chr8	4040111	4460123	-1.31108	0.00374589	15.584	18	15.584	18
CSMD1	chr8	4700130	4840133	-0.823252	0.0047664	4.30273	6	5.30167	7
MCPH1	chr8	6260172	6520180	-0.919317	0.00529759	8.93132	11	57.3484	69
MCPH1-AS1	chr8	6520180	6580181	-0.919317	0.0087062	2.55222	3	57.3484	69
AGPAT5	chr8	6580181	6600182	-0.919317	0.00359982	0.992659	1	57.3484	69
XKR5	chr8	6660183	6700185	-0.919317	0.00446317	1.0539	2	57.3484	69
DEFB1	chr8	6720185	6740186	-0.919317	0.00884956	0.897188	1	57.3484	69
DEFA4	chr8	6780187	6800187	-0.919317	0.00535	0.42536	1	57.3484	69
DEFA8P	chr8	6800187	6820188	-0.919317	0.00719964	0.895318	1	57.3484	69
DEFA1	chr8	6820188	6860189	-0.919317	0.00979196	1.70035	2	57.3484	69
DEFA3	chr8	6860189	6880190	-0.919317	0.00709965	0.998735	1	57.3484	69
DEFA11P	chr8	6880190	6900190	-0.919317	0	0.485522	1	57.3484	69
DEFA5	chr8	6900190	6920191	-0.919317	0.00709965	0.932002	1	57.3484	69
LINC00965	chr8	7120196	7140197	-0.919317	0.00534973	0.931525	1	57.3484	69
FAM66B	chr8	7160197	7220199	-0.919317	0.00753213	2.33627	3	57.3484	69
ZNF705G	chr8	7220199	7260200	-0.919317	0.00457032	1.29211	2	57.3484	69
DEFB4B	chr8	7260200	7280201	-0.919317	0.00529974	0.946685	1	57.3484	69
DEFB103A	chr8	7280201	7300201	-0.919317	0.0123	0.942721	1	57.3484	69
SPAG11B	chr8	7300201	7320202	-0.919317	0.00699965	0.808904	1	57.3484	69
PRR23D2	chr8	7620210	7640210	-0.58858	0.0089	0.941154	1	34.8515	43
DEFB105A	chr8	7680211	7700212	-0.58858	0.00894955	0.753176	1	34.8515	43
SPAG11A	chr8	7700212	7740213	-0.58858	0.0106723	1.58537	2	34.8515	43
DEFB4A	chr8	7740213	7760214	-0.58858	0.0123994	0.997562	1	34.8515	43
ZNF705B	chr8	7780214	7800215	-0.58858	0.00709965	0.883554	1	34.8515	43
FAM66E	chr8	7820215	7880217	-0.58858	0.00496307	2.7084	3	34.8515	43
FAM85B	chr8	7940219	8060222	-0.58858	0.00992731	4.81736	6	34.8515	43
FAM86B3P	chr8	8100223	8120224	-0.58858	0.00524974	0.997562	1	34.8515	43
PRAG1	chr8	8160225	8260227	-0.58858	0.00628328	3.93612	5	34.8515	43
CLDN23	chr8	8540235	8580236	-0.58858	0.00696575	1.53216	2	34.8515	43
ERI1	chr8	8880244	8960247	-0.830449	0.00757663	2.97943	4	9.68151	12
PPP1R3B	chr8	8980247	9020248	-0.830449	0.00718126	1.58194	2	9.68151	12
LOC101929128	chr8	9040249	9080250	-0.830449	0.0100688	1.58939	2	9.68151	12
LOC157273	chr8	9180253	9200253	-0.640657	0.01235	0.748343	1	4.93602	6
TNKS	chr8	9400259	9600264	-0.796501	0.00463382	6.76101	9	23.5829	28
LINC00599	chr8	9740268	9780269	-0.796501	0.00643405	1.50406	2	23.5829	28
MSRA	chr8	9900272	9980275	-0.796501	0.00468313	2.75786	3	23.5829	28
MSRA	chr8	10020276	10300283	-0.974372	0.00602179	9.23406	12	55.1664	70
LINCR-0001	chr8	10320284	10340285	-0.974372	0.0124494	0.937999	1	55.1664	70
PRSS55	chr8	10380286	10420287	-0.974372	0.0100256	1.68912	2	55.1664	70
RP1L1	chr8	10460288	10520290	-0.974372	0.00523814	2.6152	3	55.1664	70
C8orf74	chr8	10540290	10560291	-0.974372	0.00349983	0.576914	1	55.1664	70
LOC102723313	chr8	10580291	10640293	-0.974372	0.00720357	2.23383	3	55.1664	70
PINX1	chr8	10640293	10700294	-0.974372	0.00909843	2.45503	3	55.1664	70
LOC101929229	chr8	10700294	10720295	-0.974372	0.00529974	0.945569	1	55.1664	70
XKR6	chr8	10740296	11060304	-0.974372	0.00775063	9.35743	11	55.1664	70
MTMR9	chr8	11140307	11200308	-0.974372	0.00475843	2.23174	3	55.1664	70
TDH	chr8	11200308	11240309	-0.974372	0.00533406	1.39839	2	55.1664	70
FAM167A-AS1	chr8	11240309	11300311	-0.974372	0.00640134	2.75233	3	55.1664	70
FAM167A	chr8	11300311	11340312	-0.974372	0.00387192	1.31459	2	55.1664	70
BLK	chr8	11340312	11440315	-0.974372	0.0073868	3.28829	5	55.1664	70
GATA4	chr8	11520317	11600319	-0.974372	0.00366878	3.0436	4	55.1664	70
GATA4	chr8	11600319	11620320	-0.861693	0.00879956	0.99755	1	19.4199	23
NEIL2	chr8	11620320	11660321	-0.861693	0.0088827	1.88597	2	19.4199	23
FDFT1	chr8	11660321	11700322	-0.861693	0.00886705	1.80817	2	19.4199	23
CTSB	chr8	11700322	11740323	-0.861693	0.00911698	1.53119	2	19.4199	23
DEFB135	chr8	11820325	11860326	-0.861693	0.00717075	1.58741	2	19.4199	23
ZNF705D	chr8	11940329	11980330	-0.861693	0.00272923	1.30853	2	19.4199	23
FAM66D	chr8	11980330	12020331	-0.861693	0.00806125	1.45789	2	19.4199	23
FAM86B1	chr8	12020331	12060332	-0.861693	0.0080494	1.50776	2	19.4199	23
FAM66A	chr8	12220336	12280338	-0.678335	0.00931582	2.69515	3	28.5974	34
LOC100506990	chr8	12300338	12440342	-0.678335	0.00968599	4.72517	6	28.5974	34
LOC729732	chr8	12440342	12540345	-0.678335	0.0111766	3.71857	5	28.5974	34
LONRF1	chr8	12560346	12620347	-0.678335	0.00392515	2.34966	3	28.5974	34
LOC340357	chr8	12620347	12680349	-0.678335	0.00910136	2.85493	3	28.5974	34
TRMT9B	chr8	12800352	12900355	-0.678335	0.00442173	3.66806	4	28.5974	34
DLC1	chr8	12940356	12960357	-0.678335	0.00709965	0.880477	1	28.5974	34
DLC1	chr8	13000358	13400369	-0.452776	0.00620608	13.6438	17	13.6438	17
DLC1	chr8	13460370	13480371	-1.01784	0.00169992	0.994784	1	4.04752	5
LOC102725080	chr8	13480371	13500371	-1.01784	0.0071	0.745436	1	4.04752	5
SGCZ	chr8	13940383	14040386	-2.43811	0.00280851	3.52597	5	4.41228	6
SGCZ	chr8	14180390	14300393	-1.76558	0.00387932	3.61985	5	3.61985	5
SGCZ	chr8	14520399	14640403	-0.644079	0.00362525	4.40712	5	4.40712	5
SGCZ	chr8	14640403	14800407	-2.46529	0.0028758	3.56552	5	3.56552	5
TUSC3	chr8	15620430	15640430	-0.643391	0.00535	0.989142	1	11.9401	16
MSR1	chr8	15980440	16000440	-0.643391	0.00355	0.920703	1	11.9401	16
MSR1	chr8	16000440	16060442	-1.64543	0.00204205	1.41328	2	10.3625	14
FGF20	chr8	16840463	16860464	-0.49817	0.00889956	0.92542	1	12.5625	15
MICU3	chr8	16880464	16980467	-0.49817	0.00619063	2.46641	3	12.5625	15
ZDHHC2	chr8	17000468	17060469	-0.49817	0.00478242	2.35653	3	12.5625	15
ZDHHC2	chr8	17060469	17100470	-6.35876	0.000641178	1.57399	2	4.28833	5
VPS37A	chr8	17120471	17200473	-6.35876	0.00206265	2.71434	3	4.28833	5
SLC7A2	chr8	17400479	17440480	-1.04882	0.00406442	1.55782	2	13.0945	16
PDGFRL	chr8	17440480	17520482	-1.04882	0.00402651	3.4823	4	13.0945	16
MTUS1	chr8	17520482	17660486	-1.04882	0.00584031	4.76985	6	13.0945	16
FGL1	chr8	17720487	17740488	-1.04882	0.00704965	0.992707	1	13.0945	16
PCM1	chr8	17800490	17900492	-0.884592	0.00299949	3.55996	5	18.8801	23
ASAH1	chr8	17900492	17960494	-0.884592	0.00532651	1.85724	2	18.8801	23
NAT1	chr8	18020496	18100498	-0.884592	0.00591261	3.54012	4	18.8801	23
NAT2	chr8	18240502	18260502	-0.884592	0.00885	0.911595	1	18.8801	23
PSD3	chr8	18400506	18460508	-1.15083	0.00427128	2.48407	3	4.80536	6
PSD3	chr8	18500509	18820518	-0.772704	0.00588642	10.3752	13	10.3752	13
SH2D4A	chr8	19160527	19260530	-0.492154	0.00857781	4.02178	5	8.75432	11
CSGALNACT1	chr8	19260530	19360532	-0.492154	0.00788558	4.15512	5	8.75432	11
CSGALNACT1	chr8	19360532	19620540	-1.02673	0.00480472	8.95246	11	8.95246	11
SLC18A1	chr8	20000550	20060552	-0.92073	0.00466551	2.68195	3	12.8018	15
ATP6V1B2	chr8	20060552	20080552	-0.92073	0.0072	0.995177	1	12.8018	15
LZTS1	chr8	20100553	20180555	-0.92073	0.00406971	3.61421	4	12.8018	15
SNORD3F	chr8	20460563	20480563	-0.40627	0.0051	0.865859	1	11.8478	14
LOC102467222	chr8	20800572	20840573	-1.00566	0.00903999	1.80191	2	14.8302	18
LINC02153	chr8	20840573	20860574	-1.00566	0.00329984	0.99634	1	14.8302	18
LOC101929172	chr8	21140581	21180582	-0.852003	0.00640142	1.38214	2	59.5724	71
GFRA2	chr8	21540592	21640595	-0.852003	0.00834573	4.03575	5	59.5724	71
XPO7	chr8	21760598	21880602	-0.852003	0.00591356	5.24581	6	59.5724	71
FGF17	chr8	21880602	21900602	-0.852003	0.0053	0.998608	1	59.5724	71
FAM160B2	chr8	21940603	21980604	-0.852003	0.00625545	1.6344	2	59.5724	71
SFTPC	chr8	22000605	22020605	-0.852003	0.0106	0.994669	1	59.5724	71
BMP1	chr8	22040606	22060607	-0.852003	0.0175991	0.566276	1	59.5724	71
PHYHIP	chr8	22080607	22100608	-0.852003	0.00179991	0.816809	1	59.5724	71
LOC100507071	chr8	22100608	22140609	-0.852003	0.00444448	1.52689	2	59.5724	71
PIWIL2	chr8	22140609	22220611	-0.852003	0.00625827	3.19582	4	59.5724	71
SLC39A14	chr8	22220611	22300613	-0.852003	0.00601841	2.70718	3	59.5724	71
PPP3CC	chr8	22320614	22400616	-0.852003	0.00494266	3.39457	4	59.5724	71
SORBS3	chr8	22400616	22440617	-0.852003	0.00270386	1.98887	2	59.5724	71
C8orf58	chr8	22440617	22480618	-0.852003	0.00509427	1.73583	2	59.5724	71
BIN3	chr8	22480618	22540620	-0.852003	0.00699936	2.84117	3	59.5724	71
EGR3	chr8	22540620	22560620	-0.852003	0.01075	0.612587	1	59.5724	71
PEBP4	chr8	22560620	22740625	-0.852003	0.00751571	6.40687	8	59.5724	71
PEBP4	chr8	22740625	22800627	-1.68792	0.00631257	2.65429	3	8.95758	10
RHOBTB2	chr8	22840628	22880629	-1.68792	0.0069731	1.93938	2	8.95758	10
TNFRSF10B	chr8	22880629	22940631	-1.68792	0.00306967	2.47185	3	8.95758	10
LOXL2	chr8	23140636	23280640	-0.753052	0.00785621	5.62717	7	6.6219	8
ENTPD4	chr8	23280640	23300641	-0.753052	0.00714964	0.994724	1	6.6219	8
SLC25A37	chr8	23380643	23440644	-0.778424	0.00346264	2.55614	3	25.1868	30
NKX3-1	chr8	23520647	23540647	-0.778424	0.009	0.87526	1	25.1868	30
NKX2-6	chr8	23540647	23580648	-0.778424	0.00534986	1.16711	2	25.1868	30
STC1	chr8	23680651	23720652	-0.778424	0.0044747	1.93295	2	25.1868	30
LOC101929294	chr8	24140664	24220666	-1.34414	0.00428896	1.9136	3	5.9268	9
NEFL	chr8	24800682	24820682	-0.891696	0.0018	0.997537	1	17.7278	23
DOCK5	chr8	25060689	25120691	-0.891696	0.00582368	2.15662	3	17.7278	23
DOCK5	chr8	25160692	25280695	-0.708241	0.00795229	4.30688	5	8.02408	10
CDCA2	chr8	25320696	25380698	-0.708241	0.00707279	2.38417	3	8.02408	10
EBF2	chr8	25700707	25920713	-0.683141	0.00624306	7.77956	10	31.4871	40
PPP2R2A	chr8	26140719	26240721	-0.683141	0.00389397	4.18024	5	31.4871	40
BNIP3L	chr8	26240721	26280722	-0.683141	0.00792628	1.63098	2	31.4871	40
DPYSL2	chr8	26360725	26520729	-0.494189	0.00807555	6.11012	8	24.8891	30
ADRA1A	chr8	26620732	26720735	-0.494189	0.00754498	2.91397	4	24.8891	30
MIR548H4	chr8	26900740	26920740	-0.494189	0.00535	0.995728	1	24.8891	30
STMN4	chr8	27080744	27120746	-0.494189	0.00705797	1.93464	2	24.8891	30
TRIM35	chr8	27140746	27180747	-0.803223	0.00913941	1.62588	2	15.5505	18
PTK2B	chr8	27180747	27320751	-0.803223	0.00748445	6.50207	7	15.5505	18
CHRNA2	chr8	27320751	27340752	-0.803223	0.00529974	0.958924	1	15.5505	18
EPHX2	chr8	27340752	27420754	-0.803223	0.00635864	3.51134	4	15.5505	18
SCARA3	chr8	27500756	27540757	-0.803223	0.00806745	1.5788	2	15.5505	18
MIR3622A	chr8	27540757	27560758	-0.803223	0.0124994	0.861691	1	15.5505	18
SCARA5	chr8	27740763	27860766	-0.823652	0.00609182	4.64515	6	21.6983	26
NUGGC	chr8	27860766	27960769	-0.823652	0.00689151	4.25968	5	21.6983	26
ELP3	chr8	27960769	28060771	-0.823652	0.00547269	4.35315	5	21.6983	26
PNOC	chr8	28160774	28220776	-0.823652	0.00954839	2.15737	3	21.6983	26
ZNF395	chr8	28220776	28260777	-0.823652	0.00446269	1.69684	2	21.6983	26
HMBOX1	chr8	28900794	28920795	-0.973293	0.00359982	0.948922	1	23.2193	28
KIF13B	chr8	28960796	29120801	-0.973293	0.00472855	6.36061	8	23.2193	28
DUSP4	chr8	29180802	29220803	-0.973293	0.00398604	1.51237	2	23.2193	28
LINC00589	chr8	29600814	29620814	-0.571201	0.0108	0.917876	1	22.3901	27
LINC02099	chr8	29620814	29660815	-0.571201	0.00985763	1.40383	2	22.3901	27
LOC101929470	chr8	29660815	29700816	-0.571201	0.00638985	1.66564	2	22.3901	27
LINC02209	chr8	29760818	29820820	-0.571201	0.00422962	2.46108	3	22.3901	27
SARAF	chr8	29900822	29940823	-0.571201	0.00440703	1.82454	2	22.3901	27
LEPROTL1	chr8	29940823	30000825	-0.571201	0.0115716	2.41117	3	22.3901	27
DCTN6	chr8	30000825	30060826	-0.571201	0.00519013	2.09727	3	22.3901	27
RBPMS	chr8	30400836	30440837	-0.850798	0.00711334	1.75831	2	16.5759	20
GTF2E2	chr8	30440837	30500838	-0.850798	0.00463901	2.79876	3	16.5759	20
GSR	chr8	30520839	30600841	-0.850798	0.00961939	3.1162	4	16.5759	20
UBXN8	chr8	30600841	30640842	-0.850798	0.00873076	1.69025	2	16.5759	20
PPP2CB	chr8	30640842	30680843	-0.850798	0.00357187	1.77516	2	16.5759	20
TEX15	chr8	30680843	30780846	-0.850798	0.00325209	4.37294	5	16.5759	20
PURG	chr8	30840848	30900849	-7.26899	0.00211599	2.47507	3	4.98267	6
WRN	chr8	30900849	30960851	-7.26899	0.000554696	2.5076	3	4.98267	6
WRN	chr8	30960851	31040853	-0.763692	0.00430954	3.47815	4	4.38714	5
NRG1	chr8	31480865	31660870	-0.413917	0.00560647	5.88223	7	6.69436	8
NRG1	chr8	31700871	31820875	-2.22286	0.00478506	5.06186	6	5.06186	6
NRG1	chr8	31820875	32240886	-1.54393	0.00375776	14.3614	17	14.3614	17
NRG1	chr8	32240886	32340889	-0.467186	0.00495919	4.02422	5	4.02422	5
NRG1	chr8	32380890	32600896	-0.506112	0.00407397	6.30143	7	6.30143	7
FUT10	chr8	33220913	33340916	-0.700446	0.00689717	4.40201	6	13.516	17
TTI2	chr8	33340916	33380918	-0.700446	0.00999892	1.68514	2	13.516	17
RNF122	chr8	33400918	33440919	-0.700446	0.00621686	1.9537	2	13.516	17
DUSP26	chr8	33440919	33460920	-0.700446	0.0106995	0.822215	1	13.516	17
UNC5D	chr8	35080964	35100965	-1.59046	0.00719964	0.754778	1	9.76995	13
UNC5D	chr8	35180967	35660980	-0.506713	0.00596133	19.024	22	26.9707	33
KCNU1	chr8	36641007	36801012	-0.795023	0.00557164	4.54978	6	20.0965	26
MIR1268A	chr8	36961016	37261024	-0.795023	0.00657192	11.0522	14	20.0965	26
LINC01605	chr8	37301025	37381027	-1.02665	0.00680619	2.51724	4	5.85286	8
ZNF703	chr8	37541032	37561032	-0.710132	0.0125	0.48507	1	6.97345	9
LOC101929622	chr8	37561032	37601033	-0.710132	0.005918	1.60646	2	6.97345	9
PLPBP	chr8	37601033	37641035	-0.710132	0.00625549	1.8252	2	6.97345	9
ADGRA2	chr8	37641035	37681036	-0.710132	0.0131516	1.40819	2	6.97345	9
RAB11FIP1	chr8	37721037	37761038	-0.726543	0.0106068	1.83295	2	45.6382	54
GOT1L1	chr8	37781038	37801039	-0.726543	0.0176991	0.809016	1	45.6382	54
ADRB3	chr8	37801039	37841040	-0.726543	0.00413717	1.75477	2	45.6382	54
EIF4EBP1	chr8	37881041	37921042	-0.726543	0.00716863	1.88835	2	45.6382	54
ASH2L	chr8	37981044	38001044	-0.726543	0.01245	0.942587	1	45.6382	54
LSM1	chr8	38001044	38041046	-0.726543	0.0076068	1.71841	2	45.6382	54
BAG4	chr8	38041046	38081047	-0.726543	0.00888156	1.48239	2	45.6382	54
DDHD2	chr8	38081047	38121048	-0.726543	0.00266646	1.87594	2	45.6382	54
NSD3	chr8	38121048	38221051	-0.726543	0.00467416	4.11776	5	45.6382	54
LETM2	chr8	38241051	38281052	-0.726543	0.013353	1.75217	2	45.6382	54
FGFR1	chr8	38281052	38341054	-0.726543	0.00579652	2.4126	3	45.6382	54
C8orf86	chr8	38361054	38401055	-0.726543	0.00755865	1.66918	2	45.6382	54
RNF5P1	chr8	38441057	38461057	-0.726543	0.00895	0.935957	1	45.6382	54
TACC1	chr8	38581060	38701064	-0.726543	0.00394628	5.26524	6	45.6382	54
PLEKHA2	chr8	38741065	38841068	-0.726543	0.00511307	2.36924	3	45.6382	54
ADAM9	chr8	38841068	38901069	-0.726543	0.00613234	2.04649	3	45.6382	54
ADAM32	chr8	38981071	39161076	-1.14483	0.00408096	4.79861	8	6.74706	11
ADAM5	chr8	39161076	39221078	-1.14483	0.00395529	1.94845	3	6.74706	11
ADAM18	chr8	39441084	39581088	-0.717424	0.00345775	4.7179	5	61.3261	76
